S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,Target
-0.7670455,-2.176136,-0.6079545,4.157407,0.7962963,2.259259,6.375,1.586538,1.105769,3.928571,-0.3571429,0,4.8125,-2.947917,-1.104167,8.52381,-0.5238095,2.587302,9.949495,3.505051,5.414141,2.598291,-2.367521,0.5384615,3.347222,-1.277778,1.430556,-1.373737,-1.616162,-0.4646465,-0.1111111,-0.4814815,2.935185,-0.5,0.02777778,-3.347222,-2.82716,0.4074074,-7.185185,1.376923,-0.6,-2.684615,0.7797619,-0.4285714,0.2380952,4.272727,-0.3571429,1.590909,0.5757576,-3.606061,-3.717172,2.583333,-3.634615,0.3205128,2.582418,-3.186813,0.3186813,1.089286,-2.214286,-0.01785714,0
0.3295455,-3.022727,1.863636,3.7,-1.8125,1.1125,5.131313,2.282828,-0.4646465,6.422222,0.4777778,-0.2111111,5.051948,-3.084416,-3.207792,3.59375,-0.44375,1.74375,7.5,7.272727,6.636364,5.207143,-1.007143,0.8571429,1.822917,-2.447917,-0.2916667,2.833333,-2.575397,-0.3571429,1.888889,-1.950617,4.111111,1.939394,-1.916667,1.94697,-8.063492,1.555556,-7.126984,4.196581,-3.094017,-0.4615385,0.02857143,-3.057143,6,4.225,0.8875,4.625,2.692308,-3.553846,0.7538462,2.847953,-2.602339,0.2923977,4.5,-5.703125,0.890625,5.457143,-1.8,-1.657143,0
1.988889,-3.666667,0.05555556,3.829545,-0.4090909,-0.75,6.612245,3.55102,-1.510204,4.162393,-1.752137,0.2393162,1.854545,-2.981818,-0.8181818,2.358974,-0.8782051,3.685897,11.62727,3.254545,4.954545,2.769231,-1.289941,1.201183,3.691667,-0.5166667,1.108333,3.180952,-1.704762,-0.8666667,-0.6333333,-0.9333333,2.033333,0.1282051,-0.1282051,-0.6410256,-6.833333,5.121212,-5.393939,5.463636,-3.127273,1.572727,0,-2.357143,3.125,2.055556,-2.398148,-0.4259259,1.461538,-2.662722,-0.4556213,0.3504274,-0.6410256,0.04273504,3.833333,-1.47619,1.196429,5.909091,0.6590909,0.5340909,0
-20.64583,-8.691667,-1.708333,-11.57143,-7.194805,-9.116883,17.98974,19.78462,5.225641,6.510204,-3.367347,-4.265306,-8.777778,-15.04861,-6.083333,-16.60897,-5.647436,3.115385,4.145299,-5.290598,-14.07692,-9.4125,-9.7375,-9.675,-5.441558,-3.753247,-2.623377,-25.38636,-9.924242,-7.007576,-14.45,3.3375,9.625,-8.464286,-4.160714,-11.28571,-8.383838,-2.838384,-15.53535,-0.7769231,-6.476923,-3.315385,-19.27811,-0.112426,-0.1715976,-9.363636,-0.2097902,2.41958,-7.077778,-9.966667,-7.333333,-8.622378,-11.25874,-11.16084,-10.45588,-11.27451,-4.387255,-12.88889,-8.507937,-9.333333,0
-23.13287,-11.15385,-2.13986,-9.9,-7.741667,-7.633333,15.24444,19.04444,7.377778,2.964286,-4.982143,-2.428571,-8.99359,-14.3141,-8.474359,-14.77778,-4.40404,0.4949495,9.736111,-1.430556,-16.91667,-8.064286,-8.271429,-11.19286,-7.681818,-2.742424,-2.969697,-17.10417,-7.041667,-3.958333,-19.87857,0.4571429,9.171429,-13.75,-3.833333,-11.06944,-12.01705,3.414773,-16.03409,-10.27885,-6.125,-2.596154,-25.42857,-0.2571429,0.4285714,-11.33884,-2.909091,0.8264463,-7.846154,-7.519231,-7.836538,-6.454248,-9.843137,-10.44444,-10.77489,-10.95671,-4.450216,-5.390909,-5.818182,-5.627273,0
-24.87302,-13.05952,0.03968254,-8.722222,-7.188889,-8.855556,16.90625,15.69531,0.6953125,-0.6666667,-5.888889,-5.222222,-2.846154,-14.56923,-8.523077,-14.25,-0.1363636,6.465909,6.292308,-8.553846,-28.49231,-6.490196,-8.163399,-11.12418,-5.488889,-2.3,-0.7555556,-17.84921,-10.53175,-5.5,-15.18333,1.475,8.4,-12.27778,-3.674603,-8.246032,-12,6.821429,-17.78571,-7.12037,-6.217593,-1.828704,-19.64167,-4.875,4.558333,-11.91453,-2.555556,0.2905983,-15.1,-5.9,-6.35,-7.976331,-12,-14.08284,-12.84091,-11.98485,-6.075758,-5.988095,-5.369048,-9.940476,0
20.40556,12.47778,1.816667,10.4303,12.7697,6.484848,5.6,-3.2,7.5,12.75,5.2375,7.825,2.811111,19,7.233333,17.53247,11.5974,1.227273,-0.4285714,3.769231,8.071429,5.014286,13.06429,8.557143,4.020833,6.534722,-1.819444,22.77564,12.91667,3.230769,22.76364,8.145455,-8.827273,11.22222,2.606061,6.10101,28.55556,-9.873016,4.206349,-3.220779,6.142857,5.61039,0.04761905,13.80952,-1,10.66667,4.271795,-5.092308,10.81481,9.320988,4.283951,6.027273,8.027273,5.1,9.469697,10.48485,3.560606,7.285714,6.163265,4.326531,0
18.9026,14,1.597403,9.006944,14.02083,8.291667,4.569444,-1.902778,-2.541667,11.49091,8.772727,9.581818,0.02597403,16.67532,6.935065,14.85797,10.41739,-0.6695652,-2.339744,2.955128,7.012821,4.2375,13.05,12.6625,6.818182,5.010101,2.888889,22.78462,13.59487,1.123077,20.17692,11.91538,-3.169231,15.72727,1.636364,3.373737,23.54444,-1.644444,0.2333333,-4.587413,5.328671,1.832168,1.796296,12.5463,-3.462963,10.41176,11.42455,-1.370844,12.66,10.76,4.17,7.323232,12.48485,6.383838,13.625,12.79167,2.194444,11.48214,10.375,10.42857,0
14.74242,14.69697,3.962121,8.962185,12.27311,6.978992,-3.583333,-9.953704,4.87963,5.777778,7.126984,8.730159,-0.05844156,15.43506,13.92208,16.29412,8.273109,0.05462185,-7.309524,-10.54762,-0.6190476,5.443182,11.89773,10.36364,8.046296,7.351852,-4.685185,12.35556,14.14074,5.192593,16.48214,10,-7.553571,5.061538,4.492308,2.584615,21.97619,-2.761905,9.511905,-3.309524,3.488095,1.559524,-1.595238,10.09524,-5.97619,11.95,9.425,0.225,11.76389,11.64583,2.472222,5.855556,11.71111,9.077778,12.6,13.86667,4.6,9.229167,5.854167,10.27083,0
1.843434,0.9040404,0.209596,3.214286,0.05714286,-2.8,-0.05194805,-1.584416,-3.077922,-0.4038462,1.230769,-1.269231,-0.06666667,1.138462,-0.2974359,2.174242,1.818182,-2.272727,1.9875,-0.625,-1.7,1.019231,1.653846,1.358974,1.005495,0.4945055,-2.653846,2.516667,1.05,-0.9833333,0.9153846,0.5846154,-0.7230769,-1.081818,0.5,-3.9,3.114286,-0.3428571,0.3142857,0.8068182,-0.07954545,-2.602273,-1.833333,1.266667,-2.3,3.11875,1.3125,-0.73125,1.130952,1.065476,-0.4107143,-0.5151515,0.6590909,-2.848485,1.494898,0.622449,1.147959,-0.675,-0.1,-1.75,0
-0.09615385,1.403846,-1.75,2.188889,0.1555556,-1.222222,0.5604396,0.1648352,2.538462,1.152778,-0.02777778,-0.2638889,1.684615,0.2230769,-0.6846154,3.116883,1.402597,-0.03896104,4.875,0.9875,1.95,-1.553719,1.619835,1.570248,0.7625,0.05,-1.7625,1.358852,1.598086,-0.6842105,1.535714,-0.1428571,0.4285714,1.171717,-0.1414141,-2.616162,0.3181818,1.045455,1.772727,1.842857,-0.07142857,-4,1.968254,0.1111111,1.174603,2.041667,1.805556,-1.788194,-0.6019737,1.069079,0.625,-0.07017544,-1.578947,-1.280702,-0.3111111,1.688889,0.1925926,-0.1157025,0.3884298,-0.05785124,0
-0.6461039,1.123377,-0.4415584,-1.222222,0.8111111,-3.122222,-1.666667,-0.1166667,2.008333,-0.5041322,0.1404959,-0.7107438,-3.333333,1.333333,-1.296296,0.6845238,1.488095,-1.017857,0.5918367,0.9591837,0.5510204,0,0,0,0.4545455,0.06417112,-1.529412,2.615385,1.631868,0.967033,0.9142857,1.271429,-2.128571,-0.06944444,-0.3888889,-2.0625,2.283333,-0.5666667,4.166667,-2.388889,1.155556,-2.266667,1.388889,1.916667,-1.472222,1.465278,0.5902778,1.840278,0.01428571,0.4285714,-0.7142857,0.1818182,0.5636364,2.072727,2.561404,1.083333,0.8552632,-0.7875,-1.3875,1.5375,0
3.685714,1.32381,0.3952381,-1.638889,0.1574074,1.231481,1.471429,-1.071429,2.171429,-1.897727,0.1022727,0.7727273,-3.108333,2.525,1.508333,0.5833333,0.5555556,-1.833333,0.08974359,-1.653846,-3.602564,-0.5925926,2.888889,-0.1851852,2.242424,0.979798,-0.969697,2.977778,1.4,-0.9555556,4.097222,-0.2083333,-2.388889,-0.95,-0.3,-0.9333333,1.457143,-0.5428571,-5.428571,-2.867769,0.6033058,-2.024793,1.059524,1.142857,0.5952381,2.621212,1.848485,-4.75,0.8267974,-0.3333333,1.271242,0.5948718,0.02564103,0.2615385,-0.4505495,1.313187,-1.516484,-0.4090909,0.5909091,-1.443182,0
2.35124,1.454545,1.045455,-1.25,0.5,2.011905,1.8375,-0.8875,1.0625,0.1452991,0,-1.666667,-3.16,3.106667,3.72,2.235714,1.242857,-0.4285714,-1.492063,0,-0.8095238,-0.5,1.177083,1.583333,1.923077,1.153846,1.318681,5.355556,1.566667,-0.2333333,1.946154,1.207692,0.03076923,1,-1.218182,-0.9636364,1.102041,1.346939,-5.693878,-1.035714,-0.6928571,-0.04285714,-1.4375,0.7986111,0.5,2.133333,1.4,0.9515152,-2.138889,2,-2.111111,-0.8342246,0.802139,0.2941176,2.299145,2.068376,2.495726,1.415385,0.2307692,1.423077,0
-0.7815126,1.92437,0.4537815,-1.42735,0.3162393,0.7008547,1.990741,-2.361111,0.9907407,-3.070707,0.4646465,-0.08080808,-1.708333,1.541667,4.055556,0.4265734,0.6013986,-0.1118881,-0.5583333,-0.1,0.3916667,0.2371795,0.8141026,0.8397436,-0.1458333,-0.6458333,-0.40625,1.831169,2.623377,1.74026,2.111111,0.537037,-0.6296296,2.282051,-0.3333333,-2.512821,0,0,0,-2.114286,1.014286,-1.1,-0.2,0.6222222,-2.962963,2.902098,1.909091,2.160839,1.104895,1.027972,2.503497,0.4230769,0.5064103,-0.1346154,1.971591,1.426136,0.1420455,1.079365,-0.2777778,1,0
2.916667,0.1071429,-0.07142857,-1.82,2.52,-0.68,-0.7254902,0.3398693,3.816993,0.53125,0.01041667,4.4375,2.914286,0.9285714,0.75,3.386667,0.5066667,1.113333,-0.1818182,2.340909,3.136364,-1.035294,2.023529,4.270588,1.686391,-0.591716,-3.325444,5.167832,1.146853,-0.2867133,4.246914,0.6419753,0.1111111,1.65625,0.4508929,0.40625,3.666667,-1.388889,-1.861111,-0.9090909,0.7954545,1.863636,0.6357143,1.778571,0.6071429,2.004808,1.798077,-0.9807692,2.466346,2.043269,0.2644231,0.5101215,0.6396761,-0.7004049,0.8857143,0.1619048,-1.895238,-1.461538,-0.07100592,-1.094675,0
3.055556,2.7,2.222222,-0.0297619,1.309524,0.3988095,1.141026,0.1709402,0.8418803,3.329545,-0.1818182,-0.6022727,-1.714286,2.828571,0.2285714,2.190476,1.553571,-0.2202381,2.433333,-0.2666667,2.283333,1.157407,0.3796296,3.398148,1.157143,-1.057143,-0.8142857,1.55,2.85,0.8,3.0625,1.15625,2.15625,2.25,-0.5357143,2.875,1.138462,0.4307692,-1.076923,-0.7159091,1.210227,-0.0625,1.386905,0.8809524,-0.7142857,3.682051,2.687179,-1.092308,1.357143,2.235714,1.471429,-1.977444,1.781955,1.466165,2.192857,1.392857,0.2785714,1.727273,0.9712919,-0.1913876,0
