S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,Target
-0.027866396,-0.079057979,-0.022086696,0.151036606,0.028929063,0.082077798,0.231600697,0.057638166,0.040172058,0.142723103,-0.012974831,0,0.174835821,-0.107096413,-0.040113858,0.309665936,-0.019029748,0.093995443,0.361460389,0.127336824,0.19669315,0.094394668,-0.086010904,0.019562048,0.121602972,-0.046421063,0.051971414,-0.049907207,-0.058714392,-0.016880385,-0.004036613,-0.017491992,0.106633866,-0.018164761,0.001009153,-0.121602972,-0.102709369,0.014800916,-0.261034331,0.050022953,-0.021797713,-0.097530777,0.028328376,-0.015569794,0.008649885,0.155226126,-0.012974831,0.057796962,0.020916998,-0.131006469,-0.135043079,0.093851251,-0.132043823,0.011644077,0.093818009,-0.11577539,0.011577539,0.039573239,-0.08044395,-0.000648741,0
-0.014881793,-0.186000065,0.046420707,0.279968746,-0.037969173,0.119512543,0.409604899,0.138478247,0.021832242,0.370854291,0.004853978,-0.007669565,0.352018971,-0.215261008,-0.155194088,0.428975137,-0.034459632,0.153930236,0.620800115,0.386925428,0.430643308,0.280138367,-0.119475192,0.04999096,0.183410896,-0.13366626,0.039487206,0.054839529,-0.150144266,-0.029241959,0.064732468,-0.087721498,0.252114602,0.052952412,-0.068659103,-0.046452707,-0.39192079,0.07077581,-0.510470994,0.200665422,-0.133409968,-0.110755004,0.028337206,-0.126068692,0.226312765,0.303079062,0.019738989,0.223721262,0.117967354,-0.255356591,-0.102750157,0.193906449,-0.221788463,0.021843721,0.253892491,-0.318761126,0.043512912,0.236390954,-0.142914598,-0.060828385,0
0.057914241,-0.312451028,0.046752572,0.408923152,-0.051451847,0.087923569,0.634943844,0.262454255,-0.033825901,0.508599077,-0.058976663,0.001303309,0.406605022,-0.315768699,-0.179280115,0.499091072,-0.065112501,0.282244897,1.020659896,0.491104674,0.594994491,0.37056591,-0.161997655,0.091813215,0.310864161,-0.147580483,0.078317862,0.168409698,-0.206622784,-0.059665199,0.039372073,-0.11844217,0.316825414,0.055686306,-0.070822381,-0.068053255,-0.625934211,0.254255739,-0.687885049,0.391866623,-0.242175579,-0.049594909,0.027307729,-0.207122553,0.331620685,0.36674571,-0.068101688,0.200119891,0.166778632,-0.342815023,-0.115569797,0.19959278,-0.237019148,0.022602693,0.383931851,-0.360809963,0.085397802,0.44247743,-0.113778122,-0.039215252,0
-0.694242874,-0.616863932,-0.017008847,-0.026317341,-0.310966447,-0.246482646,1.265435278,0.971685188,0.157248013,0.72663451,-0.179168174,-0.153700564,0.072940785,-0.851005769,-0.393771529,-0.122436595,-0.26791564,0.38517152,1.134176538,0.281058184,0.061970863,0.01515181,-0.50987107,-0.263010432,0.101881418,-0.278572621,-0.019833418,-0.759982849,-0.559659237,-0.312079471,-0.487019876,0.007110554,0.654986939,-0.253840208,-0.219406185,-0.475585353,-0.907775141,0.141901618,-1.227286341,0.349405052,-0.468680967,-0.168239499,-0.674048853,-0.203682273,0.313339005,0.013245602,-0.073249163,0.280751814,-0.096412641,-0.692444957,-0.377787678,-0.120905194,-0.637432989,-0.383686425,-0.009873323,-0.757299459,-0.077091533,-0.041844765,-0.418733895,-0.376866099,0
-1.509427453,-0.99966759,-0.094131013,-0.385023504,-0.58092024,-0.514843383,1.773285826,1.628259717,0.41956641,0.807927317,-0.353657949,-0.236345517,-0.256441937,-1.340113535,-0.687335402,-0.654858203,-0.418179058,0.389159702,1.446680698,0.218876061,-0.55485503,-0.278370297,-0.791844753,-0.660086633,-0.180896655,-0.368083162,-0.12700055,-1.353759342,-0.795147475,-0.444546116,-1.191505607,0.023460014,0.964385202,-0.744149231,-0.350698415,-0.86045502,-1.311369777,0.260803468,-1.765210428,-0.036714365,-0.674172329,-0.25644447,-1.573368752,-0.205624472,0.317525343,-0.399170232,-0.176273939,0.300576634,-0.377957034,-0.940458825,-0.648760505,-0.350992506,-0.971871808,-0.749188785,-0.400961224,-1.12783916,-0.235965051,-0.236173707,-0.614893259,-0.567610868,0
-2.358215583,-1.437796254,-0.08926963,-0.687909934,-0.820984581,-0.817857478,2.323059168,2.139308918,0.429584133,0.754356023,-0.554750243,-0.417480023,-0.350524937,-1.820721002,-0.972004143,-1.148763195,-0.407940837,0.609925094,1.622720018,-0.099832731,-1.569809391,-0.50404295,-1.059649789,-1.040242135,-0.373733475,-0.438268775,-0.149835654,-1.953031165,-1.148873582,-0.628208335,-1.699821887,0.076193766,1.234517527,-1.163160514,-0.471454277,-1.128769495,-1.699682595,0.499147852,-2.347227506,-0.294060182,-0.875562148,-0.313563906,-2.229781485,-0.375260649,0.471591855,-0.817517739,-0.262712117,0.300214126,-0.912801806,-1.120636581,-0.855883806,-0.628017402,-1.372518424,-1.233593949,-0.852898607,-1.522269166,-0.448121932,-0.445138253,-0.787609424,-0.90812257,0
-1.531218516,-0.932250032,-0.020027865,-0.283990691,-0.327241518,-0.552553685,2.44210886,1.945334381,0.686448956,1.190152024,-0.344320565,-0.11803467,-0.235664217,-1.064314178,-0.673908173,-0.470082938,0.028207447,0.632353048,1.548197583,0.040728502,-1.219547817,-0.303564702,-0.546533819,-0.691573728,-0.214080979,-0.18494336,-0.210491726,-1.054650383,-0.637879119,-0.488013536,-0.811076031,0.369346163,0.868977495,-0.713205571,-0.359649621,-0.866115068,-0.600524119,0.122332106,-2.109139209,-0.400386476,-0.620586341,-0.098349497,-2.147044614,0.14006564,0.418129627,-0.400302697,-0.097975645,0.104306379,-0.486743284,-0.74129736,-0.669156069,-0.386233888,-1.031028503,-1.003497514,-0.477883651,-1.086056276,-0.302486766,-0.164280093,-0.535087485,-0.717950112,0
-0.788867674,-0.389768538,0.038732624,0.053544518,0.19401705,-0.231247383,2.519393927,1.805534301,0.569173049,1.564373629,-0.013102593,0.234356333,-0.226159025,-0.419841762,-0.397477821,0.086777885,0.405641474,0.585054981,1.406950527,0.14660724,-0.9204698,-0.138589996,-0.052578256,-0.206426624,0.041397768,0.003790114,-0.097892708,-0.188581105,-0.120810159,-0.429483389,-0.048592185,0.788808044,0.722271314,-0.115930965,-0.287135402,-0.712083273,0.276650866,0.058145976,-2.024038305,-0.552499144,-0.40445267,-0.028214721,-2.003784938,0.590778194,0.27713139,-0.007505637,0.320632194,0.050714872,-0.009128396,-0.323460734,-0.493351846,-0.106152684,-0.540003109,-0.735119152,0.034467359,-0.581885125,-0.211774467,0.258828772,-0.138729231,-0.313002374,0
-0.22462343,0.158325449,0.181267445,0.377191161,0.632844713,0.030697162,2.29768478,1.378326805,0.725769886,1.717444593,0.246293334,0.543004775,-0.22006593,0.156159227,0.122744858,0.675582864,0.691462802,0.5657846,1.090285181,-0.241908915,-0.909519276,0.064193108,0.38157072,0.177578835,0.332211887,0.270741684,-0.26454684,0.267141535,0.39730513,-0.225236045,0.5519614,1.123446237,0.421613925,0.072164003,-0.113500512,-0.592315803,1.064984732,-0.044305126,-1.604943008,-0.652660537,-0.263038277,0.029467067,-1.988942623,0.93607074,0.049951219,0.426904817,0.651389517,0.057046567,0.418579725,0.111377867,-0.385613968,0.110433338,-0.094926036,-0.378621297,0.490967143,-0.056976036,-0.036965005,0.584716865,0.07898982,0.071503188,0
-0.149491893,0.185416916,0.182296607,0.480261458,0.61192974,-0.072140711,2.212323744,1.270691777,0.587583581,1.640379114,0.282058864,0.477167117,-0.214493008,0.191845816,0.107479892,0.730028432,0.732395971,0.462662832,1.122880566,-0.255826431,-0.938237062,0.098889178,0.427791872,0.220498356,0.35667194,0.278870917,-0.351348935,0.348865718,0.421017222,-0.252777356,0.565164391,1.103870771,0.380027856,0.030240389,-0.091212332,-0.712482386,1.139434866,-0.055151376,-1.535218348,-0.599638374,-0.256372071,-0.06614279,-1.9832894,0.948081144,-0.035421384,0.524698264,0.675407344,0.02840813,0.444459869,0.146039795,-0.386525851,0.08770614,-0.067532961,-0.468350263,0.52743947,-0.03229285,0.006082717,0.538951954,0.072487205,0.00532885,0
